Search Term,Percentage,Num
Virtual reality,100,0
Reality,100,1
Video game,16,2
Virtual reality headset,7,3
Oculus VR,6,4
Virtual Reality Game,5,5
Oculus Rift,5,6
Headset,5,7
Technology,3,8
Augmented reality,2,9
Virtual reality game,2,10
Virtual reality therapy,2,11
Simulation,2,12
PlayStation 4,2,13
Sony,1,14
Virtual world,1,15
Massively multiplayer online game,1,16
Glasses,1,17
Reality television,1,18
Virtuality,1,19
Kickstarter,1,20
Helmet,1,21
Sword Art Online,1,22
Massively multiplayer online role-playing game,1,23
Oculus Quest,1,24
